               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078691,            0.028951,                   0,             0.42204,             0.52941,             0.39927,             0.12323,            0.054354,            0.011223,                   0,             0.07013,           0.0033188,           0.0033188
                   1,            0.055317,            0.020169,                   0,             0.70818,              0.6322,              0.6804,             0.28005,            0.047811,           0.0086275,                   0,            0.040065,           0.0065863,           0.0065863
                   2,             0.05042,            0.018726,                   0,             0.86782,             0.84874,             0.87958,             0.34871,            0.039763,           0.0090539,                   0,           0.0099327,           0.0097878,           0.0097878
                   3,            0.046777,            0.018103,                   0,             0.89123,             0.76891,             0.88303,             0.41337,            0.036878,           0.0098189,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.043461,            0.017262,                   0,             0.86816,             0.80252,             0.86785,             0.43394,            0.031353,           0.0088706,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.041058,            0.017281,                   0,             0.92355,             0.86295,             0.93223,             0.47221,            0.031736,           0.0089154,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04008,            0.016815,                   0,             0.94828,             0.84742,              0.9397,             0.55076,            0.029283,           0.0081439,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.038879,            0.015763,                   0,             0.92807,             0.86134,             0.93486,             0.51635,            0.031765,           0.0082353,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.03833,            0.016107,                   0,             0.86678,             0.78151,             0.83998,             0.42843,            0.034534,           0.0096682,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036419,             0.01583,                   0,             0.90649,             0.87395,              0.9211,              0.5381,            0.030237,           0.0081625,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035658,            0.015661,                   0,             0.92955,             0.88696,             0.93652,             0.57453,            0.029473,           0.0078066,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034832,            0.015044,                   0,             0.90486,             0.87917,             0.92393,             0.54775,            0.028677,           0.0075801,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03445,            0.014736,                   0,             0.94705,             0.90185,              0.9408,             0.55798,             0.02861,           0.0076772,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034237,            0.014796,                   0,             0.91846,             0.86555,             0.92078,             0.57544,              0.0294,           0.0075069,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033525,            0.014381,                   0,             0.93518,             0.88235,             0.93402,             0.56184,            0.028411,           0.0079955,                   0,            0.008713,            0.008713,            0.008713
